,r,method,mode,k,p,slope
0,0.6341340564623092,twonn,sane,1,0.12614317209906362,0.0023091703809388635
1,0.9955942257204518,pca,sane,1,2.468787098924304e-06,0.45980792050596797
2,0.5579905933114587,twonn,sane,2,0.19302512952213008,0.0011457131116251692
3,0.9953645838626405,pca,sane,2,2.8028273167070477e-06,0.42681817902347846
4,0.6615614539853899,twonn,sane,3,0.10556127939698473,0.000948018157341984
5,0.9942866664825832,pca,sane,3,4.724406228140526e-06,0.401396287400169
6,-0.3523449361699448,twonn,sane,4,0.43826844632755235,-0.0002724418602926257
7,0.9923611597616061,pca,sane,4,9.755349922022863e-06,0.356900751328043
8,0.8487822514189504,twonn,shuffled,1,0.01571593350945504,0.0010969248957316056
9,0.9918682946968003,pca,shuffled,1,1.1402849281756382e-05,0.6239161408691122
10,0.8487426829241893,twonn,shuffled,2,0.015725864885688015,0.0010392220538382958
11,0.991663443363232,pca,shuffled,2,1.2133281510461008e-05,0.6193237341691442
12,0.8586335713547717,twonn,shuffled,3,0.013353991219751787,0.0010267384177117755
13,0.9916337078229108,pca,shuffled,3,1.2241570612908717e-05,0.6153490991760304
14,0.8558619347317182,twonn,shuffled,4,0.013996334411198172,0.0009942448280217866
15,0.9916073819496205,pca,shuffled,4,1.2337923634242806e-05,0.6113928238311763
