,pca_mean,pca_std,pr_mean,pr_std,twonn_mean,twonn_std,mle_mean,mle_std,mode,words_coupled,step,D,model,layer
0,53.4,0.4898979485566356,10.023843893768111,0.13900564591800613,16.506661996928326,0.21062609410122146,15.87041669210149,0.0665248112555641,sane,1,143000,128,14m,0
1,48.8,0.4,2.3329948075093663,0.021067162504672013,16.656262878550102,0.2014380958631585,15.666394680492672,0.0600863903642588,sane,1,143000,128,14m,1
2,15.8,0.4,1.14803548855901,0.002857796375391972,14.361790105158008,0.16253967968035274,12.535372897389234,0.0796729090206165,sane,1,143000,128,14m,2
3,58.6,0.4898979485566356,2.288971776654101,0.02098462284715042,19.096649897549543,0.11800607790374071,18.56692469915324,0.07699926587666275,sane,1,143000,128,14m,3
4,85.6,0.4898979485566356,7.463161382011306,0.17419760855154187,22.69131816365758,0.112240197420303,21.408924715528723,0.07106047796449333,sane,1,143000,128,14m,4
5,90.0,0.0,27.93756600554326,0.19984130490854593,21.071443752372385,0.422454795676237,20.90415237314356,0.0740635871303143,sane,1,143000,128,14m,5
0,108.0,0.0,13.485657885622706,0.16010644445593386,10.201885461750576,0.11950200679937743,5.2077238245492845,0.02885994901546913,shuffled,1,143000,128,14m,0
1,106.0,0.0,11.165638293015743,0.08332610625565884,9.048636293596346,0.09472889896723105,5.376522607982489,0.03442714483568507,shuffled,1,143000,128,14m,1
2,74.4,0.8,2.432960620753547,0.08565527582870223,7.955271544939296,0.13013413056001388,8.913650728377457,0.03388572297079697,shuffled,1,143000,128,14m,2
3,97.8,0.4,4.489775161221242,0.25176413226627803,10.999761148910803,0.03535184551815933,9.516263414946435,0.052426405660267184,shuffled,1,143000,128,14m,3
4,108.0,0.0,12.497384582267516,0.48171056605369167,13.934438125415479,0.13101077885687656,12.374806894795405,0.07729813918769045,shuffled,1,143000,128,14m,4
5,114.0,0.0,30.123112252123054,0.20948521455053687,18.08751325984921,0.18263845202743953,18.120786469305088,0.1458740794797508,shuffled,1,143000,128,14m,5
0,52.0,0.0,10.262014192569897,0.04564996925206083,13.398413406754907,0.20487287965253628,13.981458608932531,0.03351327932220502,sane,2,143000,128,14m,0
1,48.8,0.4,2.4660403675272335,0.053903716039228125,14.185017033870157,0.08082150864506393,14.455767869815798,0.04438746379222672,sane,2,143000,128,14m,1
2,16.8,0.39999999999999997,1.1641452714985945,0.007201367746312907,11.92679611638154,0.24084909227587975,11.575301590823926,0.049993032603334736,sane,2,143000,128,14m,2
3,60.0,1.0954451150103321,2.4236497491654347,0.03896760525855949,17.048226621077617,0.22528052944570845,17.482551580030705,0.0695700951342856,sane,2,143000,128,14m,3
4,85.8,0.4,8.650096679818393,0.4159721274124679,20.006159378441318,0.25268320288199997,19.92892427530747,0.055949441349188715,sane,2,143000,128,14m,4
5,89.0,0.0,26.400926280081183,0.10951242433674575,17.88570330667721,0.1661300511070708,18.062165803261383,0.08091955079346227,sane,2,143000,128,14m,5
0,108.0,0.0,13.617171308143407,0.21094325571581918,9.882507288111833,0.19862763455231908,5.09347249713139,0.03902989159175543,shuffled,2,143000,128,14m,0
1,106.0,0.0,11.239880967924304,0.10244219590814871,8.930200195940042,0.149720624495798,5.331595534976762,0.06379830280484534,shuffled,2,143000,128,14m,1
2,74.4,0.4898979485566356,2.4240863329418167,0.07377244820787056,7.65900230726948,0.14725674069549974,8.842674716024643,0.024963956602513014,shuffled,2,143000,128,14m,2
3,97.6,0.4898979485566356,4.459586998450318,0.18673174669236736,10.639152099468664,0.15039108975916435,9.338800040054242,0.06927206477983923,shuffled,2,143000,128,14m,3
4,108.0,0.0,12.51347038806639,0.20731523870756163,13.354693831134266,0.21904759402200616,11.986087031981924,0.08016308689139182,shuffled,2,143000,128,14m,4
5,113.2,0.4,30.148469108302265,0.4527183945446699,17.298881108825885,0.19916446781770708,17.3612569741661,0.046844306899996135,shuffled,2,143000,128,14m,5
0,51.0,0.0,9.891854361164638,0.10847458218009805,10.898034983160375,0.12260309182269773,12.393649022395454,0.05431174640419263,sane,3,143000,128,14m,0
1,47.0,0.6324555320336759,2.332954241151714,0.04958032343881899,11.849373003939807,0.14358269521256267,13.185998932741493,0.05279915937256219,sane,3,143000,128,14m,1
2,15.8,0.39999999999999997,1.1488191970924304,0.005336145752698341,9.764123356527632,0.16223877707907475,10.848609047293676,0.05195697412324093,sane,3,143000,128,14m,2
3,58.0,0.6324555320336759,2.320555640489519,0.04735911182719135,15.561982537309225,0.1526702198527067,16.45218821156511,0.03149984268261878,sane,3,143000,128,14m,3
4,84.6,0.4898979485566356,7.735766293303743,0.373855723085068,17.88667872138351,0.3313747553788437,18.492709149431413,0.06635385531844977,sane,3,143000,128,14m,4
5,89.0,0.0,25.98682861728772,0.06575798174217241,15.600124885006096,0.16648123501701326,16.148638687746317,0.08684233409700191,sane,3,143000,128,14m,5
0,108.0,0.0,13.58544851439776,0.20568952381738145,9.525875440888635,0.07215500901552134,4.992766039870583,0.06253403859870739,shuffled,3,143000,128,14m,0
1,106.0,0.0,11.164593173652573,0.11313688905144798,8.572783480672182,0.11264845787164142,5.27980821055828,0.042513581823604485,shuffled,3,143000,128,14m,1
2,75.0,1.0954451150103321,2.4978127050576413,0.10205775701337065,7.179425789540078,0.11067582708462,8.655298877740808,0.03782500811149809,shuffled,3,143000,128,14m,2
3,97.8,0.7483314773547882,4.706130300107128,0.29530896790240024,10.28034706277131,0.14518524226135024,9.122359674451031,0.04085097976054845,shuffled,3,143000,128,14m,3
4,108.0,0.0,12.824643127992598,0.4448167032905208,12.941277948630376,0.15983124449030742,11.609730601261196,0.048063024918394294,shuffled,3,143000,128,14m,4
5,113.0,0.0,29.991928659284675,0.13791917201202664,16.163508239814856,0.25597086034158334,16.382057740422127,0.06265307471049136,shuffled,3,143000,128,14m,5
0,49.0,0.0,9.87544330533016,0.09968831596748759,8.361120169311942,0.09978092602061635,10.157592230763287,0.02794435541966006,sane,4,143000,128,14m,0
1,45.0,0.6324555320336759,2.403239176690243,0.05822421745458532,9.11881639084144,0.09481439273944835,10.997904414359962,0.042708150839295696,sane,4,143000,128,14m,1
2,15.6,0.48989794855663565,1.1517520111305544,0.006585982391893869,7.255498478536754,0.07056572311570815,9.44294819293841,0.02153641067680608,sane,4,143000,128,14m,2
3,57.2,0.7483314773547882,2.342161531304895,0.046107449602603726,12.454585658863884,0.15822036924221825,14.353483952979179,0.06350082271012336,sane,4,143000,128,14m,3
4,83.4,0.4898979485566356,7.907583687472955,0.3419911389108363,13.469635041785361,0.10790775206683138,15.409060959293612,0.05383749982723307,sane,4,143000,128,14m,4
5,87.4,0.4898979485566356,24.992965101869967,0.17666173481887507,11.865960459691841,0.12796474354657358,13.523004948623205,0.050394245973404285,sane,4,143000,128,14m,5
0,108.0,0.0,13.62602411911817,0.23029051526066244,9.049296208826405,0.11658603667770392,4.830186354707378,0.057279569642999045,shuffled,4,143000,128,14m,0
1,106.0,0.0,11.24625882803516,0.13616839492521898,8.347360687201624,0.05596082756141709,5.219631633393197,0.06558954751512039,shuffled,4,143000,128,14m,1
2,75.2,1.16619037896906,2.512901223628874,0.09724838432433819,6.85810339975602,0.07277388931172239,8.556501076227338,0.07083555875726756,shuffled,4,143000,128,14m,2
3,98.0,0.6324555320336759,4.685718009992735,0.2443604537682578,10.023965672119239,0.10650557299259697,9.007942772687276,0.09360763627193724,shuffled,4,143000,128,14m,3
4,108.0,0.0,12.791845695300385,0.3246812757151822,12.513244110358352,0.13192953382277306,11.298758075816021,0.07311226215784357,shuffled,4,143000,128,14m,4
5,113.4,0.4898979485566356,30.04059047314638,0.29351681017168535,15.339404107724983,0.3073133336162882,15.598903775728484,0.09476615673483768,shuffled,4,143000,128,14m,5
0,166.0,0.0,23.096296523289915,0.1730505601993745,18.67693600526376,0.24264670228972401,17.45685995720096,0.08897355515554928,sane,1,143000,512,70m,0
1,217.6,1.019803902718557,2.074121084824905,0.012974208297099435,21.83391039173591,0.175680140738959,18.46654004327246,0.08461752534862696,sane,1,143000,512,70m,1
2,78.0,1.6733200530681511,1.155486475763276,0.003186809438682747,22.213053180975823,0.1846540659231826,19.14668108342598,0.09730289146055354,sane,1,143000,512,70m,2
3,105.4,2.0591260281974,1.1727090739554948,0.0033975329981881055,25.062207691677074,0.25980780830255584,21.9090085864664,0.10626782295730614,sane,1,143000,512,70m,3
4,200.2,1.469693845669907,2.0509171633502925,0.02626450876258415,20.538147776236308,0.20838441547818173,20.317425126632067,0.03250034117785352,sane,1,143000,512,70m,4
5,335.2,0.4,13.16207972584761,0.31512145369579486,25.446861579691863,0.1778701563651024,25.677950555354943,0.1405358856677698,sane,1,143000,512,70m,5
0,377.2,0.4,23.48615242235415,0.25119356212437877,10.445566865206999,0.10640430628504845,5.605271695673978,0.047716268009599744,shuffled,1,143000,512,70m,0
1,396.8,0.7483314773547883,8.940770767077723,0.3510388320172982,11.452417696558365,0.052406280662326665,7.327518449075489,0.06808736165277465,shuffled,1,143000,512,70m,1
2,61.6,2.727636339397171,1.0785483742352706,0.0028260944643723625,12.097260623150287,0.13546597229678684,11.063606641141678,0.06710007464714089,shuffled,1,143000,512,70m,2
3,53.2,3.4292856398964497,1.0708684611596577,0.002636013505831633,14.448436527899025,0.14787716913081445,11.551867794811661,0.08294127126089963,shuffled,1,143000,512,70m,3
4,213.4,4.409081537009721,1.2236572374464747,0.009016694667496234,18.551104812894597,0.23912219391063635,17.499746507281873,0.16577568627617878,shuffled,1,143000,512,70m,4
5,446.0,0.0,66.07911108450907,0.41748286576860394,22.439105884902286,0.29415899223654196,22.8872141097117,0.20855221753488623,shuffled,1,143000,512,70m,5
0,153.0,0.0,22.958795572625586,0.07923932644859996,14.293620841649124,0.16149546788929106,15.232264551672419,0.07505627867349837,sane,2,143000,512,70m,0
1,201.0,1.2649110640673518,2.0553172624892015,0.020736933550750566,18.439390600847215,0.09155867220956299,17.2779183027159,0.058408335709656305,sane,2,143000,512,70m,1
2,71.8,1.4696938456699067,1.1519575773988782,0.003054390740345409,20.17867046573982,0.29343807172021824,18.465137157666025,0.03532284215002462,sane,2,143000,512,70m,2
3,94.8,1.4696938456699067,1.168681033965558,0.003076282690753485,22.411919973597215,0.2833079301963761,20.763111955534452,0.0631441347113235,sane,2,143000,512,70m,3
4,188.2,1.32664991614216,2.02473536164369,0.019959246116715297,16.892831683685774,0.20874309434630117,17.692702016939396,0.09293979532026016,sane,2,143000,512,70m,4
5,326.6,0.48989794855663565,12.705783462300705,0.24660687276695492,19.73494486778105,0.18644290470152675,21.7710519499993,0.13735728135447758,sane,2,143000,512,70m,5
0,376.0,0.0,23.385603486490215,0.36392293130978975,9.934787690387733,0.06208094619266019,5.584793056812389,0.07393284439989256,shuffled,2,143000,512,70m,0
1,395.4,1.2,8.930857096007134,0.42124679761217154,10.951767762355969,0.18855722792214563,7.304860280419291,0.10061788090299767,shuffled,2,143000,512,70m,1
2,61.0,3.521363372331802,1.0779937516990228,0.003253154250052671,11.23985048106653,0.13510200921316626,10.92143193457461,0.07005572346277729,shuffled,2,143000,512,70m,2
3,52.2,4.1182520563948,1.0703436375104425,0.0027167591923075436,13.908509886036693,0.15648902286748564,11.345643316869555,0.09916302994203031,shuffled,2,143000,512,70m,3
4,211.4,4.715930449020639,1.2224829927147627,0.009072782077510153,17.746739652919434,0.20225082454835205,16.845605760804084,0.12497334337530178,shuffled,2,143000,512,70m,4
5,445.2,0.4,65.5518221572107,1.1754631789656143,21.339488855437217,0.2886163076001101,21.768415093919593,0.1250978563052535,shuffled,2,143000,512,70m,5
0,143.8,0.4,22.93724824402981,0.07157725974475969,11.27132003750492,0.19962503523665795,13.4078833931162,0.06412433114107279,sane,3,143000,512,70m,0
1,188.6,1.2,2.0425621075397715,0.015009241926799713,15.57346707537667,0.18119260478293348,16.029708301044092,0.05687185670134427,sane,3,143000,512,70m,1
