model_size,checkpoint_step,n_words_correlated,layer_num,method,id
70m,0,1,0,mle,40.38291251553722
70m,0,1,0,pca,128.0
70m,0,1,0,pr,103.16811601445292
70m,0,1,0,2nn,41.333427531379904
70m,0,1,1,mle,42.44889894636701
70m,0,1,1,pca,131.0
70m,0,1,1,pr,106.75977465307304
70m,0,1,1,2nn,43.10888737561768
70m,0,1,2,mle,41.123666910770304
70m,0,1,2,pca,130.0
70m,0,1,2,pr,101.54517973871792
70m,0,1,2,2nn,42.07091789012061
70m,0,1,3,mle,39.436407791036224
70m,0,1,3,pca,123.0
70m,0,1,3,pr,95.21790465642106
70m,0,1,3,2nn,39.03530495847782
70m,0,1,4,mle,37.90229104003783
70m,0,1,4,pca,124.0
70m,0,1,4,pr,92.16782837389344
70m,0,1,4,2nn,37.22718846368277
70m,0,1,5,mle,36.61675853603069
70m,0,1,5,pca,122.0
70m,0,1,5,pr,89.32037162686467
70m,0,1,5,2nn,36.08987185855264
70m,0,2,0,mle,27.345633389085982
70m,0,2,0,pca,118.0
70m,0,2,0,pr,88.30576007617293
70m,0,2,0,2nn,25.2606267334005
70m,0,2,1,mle,27.818710894443964
70m,0,2,1,pca,118.0
70m,0,2,1,pr,91.17244311362482
70m,0,2,1,2nn,25.606149722269777
70m,0,2,2,mle,25.70311099788974
70m,0,2,2,pca,117.0
70m,0,2,2,pr,87.0264209521726
70m,0,2,2,2nn,24.31181261295469
70m,0,2,3,mle,24.05455256029924
70m,0,2,3,pca,114.0
70m,0,2,3,pr,81.83888458539353
70m,0,2,3,2nn,22.82408733602889
70m,0,2,4,mle,23.05082160551649
70m,0,2,4,pca,112.0
70m,0,2,4,pr,78.70088208617511
70m,0,2,4,2nn,21.777101245716427
70m,0,2,5,mle,22.35097491246204
70m,0,2,5,pca,107.0
70m,0,2,5,pr,76.21696542162447
70m,0,2,5,2nn,21.08215113064117
70m,0,3,0,mle,18.255377673712506
70m,0,3,0,pca,108.0
70m,0,3,0,pr,78.59165146167364
70m,0,3,0,2nn,15.439589509296145
70m,0,3,1,mle,16.98560467467864
70m,0,3,1,pca,110.0
70m,0,3,1,pr,80.79345680928546
70m,0,3,1,2nn,16.199572964500202
70m,0,3,2,mle,15.826484921000285
70m,0,3,2,pca,110.0
70m,0,3,2,pr,76.25962943388002
70m,0,3,2,2nn,16.237822538465277
70m,0,3,3,mle,15.383109734342158
70m,0,3,3,pca,104.0
70m,0,3,3,pr,71.39968100413435
70m,0,3,3,2nn,16.04801331285479
70m,0,3,4,mle,15.163809294842608
70m,0,3,4,pca,100.0
70m,0,3,4,pr,68.64498069665554
70m,0,3,4,2nn,15.860086142922412
70m,0,3,5,mle,15.126836877799809
70m,0,3,5,pca,96.0
70m,0,3,5,pr,66.08634577634342
70m,0,3,5,2nn,15.72933075271906
70m,0,4,0,mle,10.536693935065864
70m,0,4,0,pca,94.0
70m,0,4,0,pr,67.8262575288771
70m,0,4,0,2nn,15.421070966819164
70m,0,4,1,mle,10.476356511996777
70m,0,4,1,pca,97.0
70m,0,4,1,pr,69.57417736301171
70m,0,4,1,2nn,16.45324804183959
70m,0,4,2,mle,10.494800228684111
70m,0,4,2,pca,98.0
70m,0,4,2,pr,66.82960550534213
70m,0,4,2,2nn,15.489286000344046
70m,0,4,3,mle,10.44204656261895
70m,0,4,3,pca,92.0
70m,0,4,3,pr,63.200482523820334
70m,0,4,3,2nn,14.573248005928049
70m,0,4,4,mle,10.420970855010362
70m,0,4,4,pca,91.0
70m,0,4,4,pr,61.51961015114184
70m,0,4,4,2nn,14.261854111641505
70m,0,4,5,mle,10.410847997592771
70m,0,4,5,pca,86.0
70m,0,4,5,pr,59.253142744467056
70m,0,4,5,2nn,14.085730539290036
70m,2,1,0,mle,40.37131283485656
70m,2,1,0,pca,128.0
70m,2,1,0,pr,103.1701359927819
70m,2,1,0,2nn,41.31752094866436
70m,2,1,1,mle,42.4257275754494
70m,2,1,1,pca,131.0
70m,2,1,1,pr,106.76013945783876
70m,2,1,1,2nn,43.08543404187502
70m,2,1,2,mle,41.15327697209504
70m,2,1,2,pca,130.0
