model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1.4b,0,1,0,mle,44.06650021381126
1.4b,0,1,0,pca,235.0
1.4b,0,1,0,pr,193.54118117579088
1.4b,0,1,0,2nn,44.55710656227735
1.4b,0,1,1,mle,46.59749391030303
1.4b,0,1,1,pca,232.0
1.4b,0,1,1,pr,209.3833015391517
1.4b,0,1,1,2nn,46.67373964933581
1.4b,0,1,2,mle,44.54784565416708
1.4b,0,1,2,pca,236.0
1.4b,0,1,2,pr,208.48636639672097
1.4b,0,1,2,2nn,44.009177438314325
1.4b,0,1,3,mle,42.2908865657038
1.4b,0,1,3,pca,237.0
1.4b,0,1,3,pr,204.79219935646444
1.4b,0,1,3,2nn,41.47942303685444
1.4b,0,1,4,mle,40.323026449245646
1.4b,0,1,4,pca,232.0
1.4b,0,1,4,pr,198.848174019899
1.4b,0,1,4,2nn,39.429318191788866
1.4b,0,1,5,mle,38.7208200824043
1.4b,0,1,5,pca,225.0
1.4b,0,1,5,pr,193.31565618861023
1.4b,0,1,5,2nn,37.92200170783653
1.4b,0,1,6,mle,37.3645135236645
1.4b,0,1,6,pca,229.0
1.4b,0,1,6,pr,190.58423881639706
1.4b,0,1,6,2nn,36.93194546453366
1.4b,0,1,7,mle,36.25763425815547
1.4b,0,1,7,pca,228.0
1.4b,0,1,7,pr,187.33802902390028
1.4b,0,1,7,2nn,35.91431447376061
1.4b,0,1,8,mle,35.43285387778197
1.4b,0,1,8,pca,227.0
1.4b,0,1,8,pr,184.4933193824691
1.4b,0,1,8,2nn,35.330548932821046
1.4b,0,1,9,mle,34.796474936589284
1.4b,0,1,9,pca,227.0
1.4b,0,1,9,pr,182.3530117969693
1.4b,0,1,9,2nn,34.98261168137693
1.4b,0,1,10,mle,34.17188891585471
1.4b,0,1,10,pca,226.0
1.4b,0,1,10,pr,180.27685446515576
1.4b,0,1,10,2nn,34.5802434185172
1.4b,0,1,11,mle,33.64184400602854
1.4b,0,1,11,pca,229.0
1.4b,0,1,11,pr,178.14672478221405
1.4b,0,1,11,2nn,34.01571558963184
1.4b,0,1,12,mle,33.041470391865964
1.4b,0,1,12,pca,228.0
1.4b,0,1,12,pr,176.122077362838
1.4b,0,1,12,2nn,33.55593957727389
1.4b,0,1,13,mle,32.67520986748136
1.4b,0,1,13,pca,226.0
1.4b,0,1,13,pr,173.9184567829855
1.4b,0,1,13,2nn,33.173386056106885
1.4b,0,1,14,mle,32.279352904011866
1.4b,0,1,14,pca,225.0
1.4b,0,1,14,pr,172.36663882369297
1.4b,0,1,14,2nn,32.84133257030071
1.4b,0,1,15,mle,32.05613760264627
1.4b,0,1,15,pca,224.0
1.4b,0,1,15,pr,171.01964717979868
1.4b,0,1,15,2nn,32.74566551292838
1.4b,0,1,16,mle,31.677750036090927
1.4b,0,1,16,pca,220.0
1.4b,0,1,16,pr,168.8959572833235
1.4b,0,1,16,2nn,32.444860968671264
1.4b,0,1,17,mle,31.447361481412628
1.4b,0,1,17,pca,221.0
1.4b,0,1,17,pr,167.8126058270272
1.4b,0,1,17,2nn,32.09397984462972
1.4b,0,1,18,mle,31.211176047489268
1.4b,0,1,18,pca,219.0
1.4b,0,1,18,pr,166.81246978446555
1.4b,0,1,18,2nn,31.960798815199652
1.4b,0,1,19,mle,31.029271586481443
1.4b,0,1,19,pca,218.0
1.4b,0,1,19,pr,166.01406462393527
1.4b,0,1,19,2nn,31.751857567344942
1.4b,0,1,20,mle,30.792738022345166
1.4b,0,1,20,pca,219.0
1.4b,0,1,20,pr,164.9101671384154
1.4b,0,1,20,2nn,31.459429677747845
1.4b,0,1,21,mle,30.6537452112346
1.4b,0,1,21,pca,218.0
1.4b,0,1,21,pr,164.18791914331263
1.4b,0,1,21,2nn,31.265635381578107
1.4b,0,1,22,mle,30.413855440384836
1.4b,0,1,22,pca,220.0
1.4b,0,1,22,pr,163.19542024894665
1.4b,0,1,22,2nn,31.146130393015486
1.4b,0,1,23,mle,30.23217084831578
1.4b,0,1,23,pca,219.0
1.4b,0,1,23,pr,161.87342558133793
1.4b,0,1,23,2nn,30.950152178373937
1.4b,0,2,0,mle,28.929644925172877
1.4b,0,2,0,pca,192.0
1.4b,0,2,0,pr,145.2162400004645
1.4b,0,2,0,2nn,25.193339651811854
1.4b,0,2,1,mle,28.08209029378688
1.4b,0,2,1,pca,192.0
1.4b,0,2,1,pr,154.73942999493374
1.4b,0,2,1,2nn,25.111695751148076
1.4b,0,2,2,mle,24.84557724005563
1.4b,0,2,2,pca,197.0
1.4b,0,2,2,pr,153.13988129743134
1.4b,0,2,2,2nn,23.845280895778966
1.4b,0,2,3,mle,22.724877382724546
1.4b,0,2,3,pca,197.0
1.4b,0,2,3,pr,149.3005033459047
1.4b,0,2,3,2nn,23.30292181142155
1.4b,0,2,4,mle,21.55224430084431
1.4b,0,2,4,pca,194.0
1.4b,0,2,4,pr,145.19381806466487
1.4b,0,2,4,2nn,22.74185477732371
1.4b,0,2,5,mle,20.80747183625037
1.4b,0,2,5,pca,189.0
1.4b,0,2,5,pr,141.04224988713966
1.4b,0,2,5,2nn,22.392980682885185
1.4b,0,2,6,mle,20.264547474109765
1.4b,0,2,6,pca,188.0
1.4b,0,2,6,pr,137.99813526284865
1.4b,0,2,6,2nn,22.107357753250263
1.4b,0,2,7,mle,19.876438550999715
1.4b,0,2,7,pca,185.0
1.4b,0,2,7,pr,135.03078402102904
1.4b,0,2,7,2nn,21.82390028664195
1.4b,0,2,8,mle,19.596461456553083
1.4b,0,2,8,pca,182.0
1.4b,0,2,8,pr,132.7337625544683
1.4b,0,2,8,2nn,21.599496089023354
1.4b,0,2,9,mle,19.361219063099742
1.4b,0,2,9,pca,180.0
1.4b,0,2,9,pr,131.12604302180813
1.4b,0,2,9,2nn,21.332964712241147
1.4b,0,2,10,mle,19.17349632962468
1.4b,0,2,10,pca,176.0
1.4b,0,2,10,pr,129.2779615979023
1.4b,0,2,10,2nn,21.076534939155838
1.4b,0,2,11,mle,18.980159394473723
1.4b,0,2,11,pca,174.0
1.4b,0,2,11,pr,127.49880146229488
1.4b,0,2,11,2nn,20.974764730578002
1.4b,0,2,12,mle,18.85840613857488
1.4b,0,2,12,pca,172.0
1.4b,0,2,12,pr,125.81670424178961
1.4b,0,2,12,2nn,20.852637023191598
1.4b,0,2,13,mle,18.710056351567264
1.4b,0,2,13,pca,172.0
1.4b,0,2,13,pr,124.40712524468871
1.4b,0,2,13,2nn,20.69672670706378
1.4b,0,2,14,mle,18.64557290306238
1.4b,0,2,14,pca,169.0
1.4b,0,2,14,pr,123.21381073883504
1.4b,0,2,14,2nn,20.605459478042047
