model_size,checkpoint_step,n_words_correlated,layer_num,method,id
160m,0,1,0,mle,42.359821435399745
160m,0,1,0,pca,166.0
160m,0,1,0,pr,133.02385301395793
160m,0,1,0,2nn,42.91041017007483
160m,0,1,1,mle,44.127376119395265
160m,0,1,1,pca,164.0
160m,0,1,1,pr,137.98463775301514
160m,0,1,1,2nn,43.952760234623696
160m,0,1,2,mle,42.651225027484145
160m,0,1,2,pca,154.0
160m,0,1,2,pr,130.72746990920578
160m,0,1,2,2nn,42.39171623731256
160m,0,1,3,mle,40.55511649627874
160m,0,1,3,pca,152.0
160m,0,1,3,pr,125.06024755370628
160m,0,1,3,2nn,39.9672685471993
160m,0,1,4,mle,38.8481437068045
160m,0,1,4,pca,146.0
160m,0,1,4,pr,119.69333163016823
160m,0,1,4,2nn,38.2279710187837
160m,0,1,5,mle,37.6795836820021
160m,0,1,5,pca,143.0
160m,0,1,5,pr,115.181043774501
160m,0,1,5,2nn,36.57183888842522
160m,0,1,6,mle,36.49954223121249
160m,0,1,6,pca,141.0
160m,0,1,6,pr,112.31350283267619
160m,0,1,6,2nn,35.08818246343508
160m,0,1,7,mle,35.575771479836675
160m,0,1,7,pca,136.0
160m,0,1,7,pr,109.52448143268879
160m,0,1,7,2nn,34.34723941174751
160m,0,1,8,mle,34.823606906953835
160m,0,1,8,pca,135.0
160m,0,1,8,pr,107.12077252597653
160m,0,1,8,2nn,33.63073429387296
160m,0,1,9,mle,34.183028995255704
160m,0,1,9,pca,132.0
160m,0,1,9,pr,105.05579345913222
160m,0,1,9,2nn,33.08967984574539
160m,0,1,10,mle,33.57022000015855
160m,0,1,10,pca,134.0
160m,0,1,10,pr,103.8186603187746
160m,0,1,10,2nn,32.911497514807444
160m,0,1,11,mle,33.06647635914349
160m,0,1,11,pca,131.0
160m,0,1,11,pr,101.97227636396585
160m,0,1,11,2nn,32.438829952321434
160m,0,2,0,mle,28.203510198015014
160m,0,2,0,pca,140.0
160m,0,2,0,pr,107.02960330752772
160m,0,2,0,2nn,25.640938976777495
160m,0,2,1,mle,27.816361790839235
