model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1b,0,1,0,mle,21.415146176167532
1b,0,1,0,pca,14.0
1b,0,1,0,pr,43.44075733148425
1b,0,1,0,2nn,36.385495981498714
1b,0,1,1,mle,22.821011678347602
1b,0,1,1,pca,15.0
1b,0,1,1,pr,43.67915222406835
1b,0,1,1,2nn,38.85814017338674
1b,0,1,2,mle,21.756527826947114
1b,0,1,2,pca,19.0
1b,0,1,2,pr,46.56567515388818
1b,0,1,2,2nn,33.85456283941904
1b,0,1,3,mle,20.87386410893234
1b,0,1,3,pca,18.0
1b,0,1,3,pr,47.052428571338595
1b,0,1,3,2nn,29.964659350637525
1b,0,1,4,mle,20.311783138338868
1b,0,1,4,pca,19.0
1b,0,1,4,pr,48.41704732296488
1b,0,1,4,2nn,27.3950989804774
1b,0,1,5,mle,19.848244865011694
1b,0,1,5,pca,22.0
1b,0,1,5,pr,51.09531607189284
1b,0,1,5,2nn,25.68002974701869
1b,0,1,6,mle,19.48537021136298
1b,0,1,6,pca,23.0
1b,0,1,6,pr,53.31331173438197
1b,0,1,6,2nn,24.24579904937202
1b,0,1,7,mle,19.23662279622221
1b,0,1,7,pca,26.0
1b,0,1,7,pr,55.81182186937677
1b,0,1,7,2nn,23.06166604484783
1b,0,1,8,mle,19.091406625400168
1b,0,1,8,pca,29.0
1b,0,1,8,pr,57.77887546565641
1b,0,1,8,2nn,22.19427096475978
1b,0,1,9,mle,18.884053755719744
1b,0,1,9,pca,29.0
1b,0,1,9,pr,58.96980612320149
1b,0,1,9,2nn,21.358615304540578
1b,0,1,10,mle,18.749717927215766
1b,0,1,10,pca,30.0
1b,0,1,10,pr,60.616730324759054
1b,0,1,10,2nn,20.502272146888913
1b,0,1,11,mle,18.63578006504017
1b,0,1,11,pca,31.0
1b,0,1,11,pr,62.22573908434757
1b,0,1,11,2nn,19.872075737523883
1b,0,1,12,mle,18.548462213643575
1b,0,1,12,pca,32.0
1b,0,1,12,pr,63.55824909189786
1b,0,1,12,2nn,19.30966405927724
1b,0,1,13,mle,18.46471682403508
1b,0,1,13,pca,32.0
1b,0,1,13,pr,65.01098402927701
1b,0,1,13,2nn,18.873149057252142
1b,0,1,14,mle,18.41206383257896
1b,0,1,14,pca,34.0
1b,0,1,14,pr,66.12409573567793
1b,0,1,14,2nn,18.419615528725473
1b,0,1,15,mle,18.357202436642112
1b,0,1,15,pca,36.0
1b,0,1,15,pr,68.09289061275283
1b,0,1,15,2nn,18.084028308158842
1b,0,2,0,mle,17.13207316434779
1b,0,2,0,pca,15.0
1b,0,2,0,pr,44.42945816627767
1b,0,2,0,2nn,25.530636926836266
1b,0,2,1,mle,19.04157220068982
1b,0,2,1,pca,17.0
1b,0,2,1,pr,44.71672641625248
1b,0,2,1,2nn,28.84517548516525
1b,0,2,2,mle,18.99601901871097
1b,0,2,2,pca,21.0
1b,0,2,2,pr,47.61393265936177
1b,0,2,2,2nn,27.61379192458941
1b,0,2,3,mle,18.757289330613187
1b,0,2,3,pca,21.0
1b,0,2,3,pr,48.14879252495718
1b,0,2,3,2nn,25.5193846026996
1b,0,2,4,mle,18.55065632988588
1b,0,2,4,pca,22.0
1b,0,2,4,pr,49.581638904155774
1b,0,2,4,2nn,23.576822395331863
1b,0,2,5,mle,18.25263779427238
1b,0,2,5,pca,24.0
1b,0,2,5,pr,52.29609053356759
1b,0,2,5,2nn,22.100714950192433
1b,0,2,6,mle,18.058685560767483
1b,0,2,6,pca,26.0
1b,0,2,6,pr,54.50237589200878
1b,0,2,6,2nn,21.02978849183841
1b,0,2,7,mle,17.91490064832817
1b,0,2,7,pca,29.0
1b,0,2,7,pr,57.004368475409066
1b,0,2,7,2nn,20.039771332900152
1b,0,2,8,mle,17.783351695290843
1b,0,2,8,pca,31.0
1b,0,2,8,pr,58.98245764475119
1b,0,2,8,2nn,19.208105229324225
1b,0,2,9,mle,17.710827800323788
1b,0,2,9,pca,32.0
1b,0,2,9,pr,60.292541541527946
1b,0,2,9,2nn,18.388640634444595
1b,0,2,10,mle,17.70436787333655
1b,0,2,10,pca,34.0
1b,0,2,10,pr,61.987748039490086
1b,0,2,10,2nn,17.768098208409818
1b,0,2,11,mle,17.681140210496288
1b,0,2,11,pca,35.0
1b,0,2,11,pr,63.58154155847371
1b,0,2,11,2nn,17.24840898322344
1b,0,2,12,mle,17.646530057353324
1b,0,2,12,pca,35.0
1b,0,2,12,pr,64.90717511735642
1b,0,2,12,2nn,16.779636397160235
1b,0,2,13,mle,17.610826953987843
1b,0,2,13,pca,37.0
1b,0,2,13,pr,66.36082453133287
1b,0,2,13,2nn,16.297474568388022
1b,0,2,14,mle,17.582654130084922
1b,0,2,14,pca,37.0
1b,0,2,14,pr,67.48294885089254
1b,0,2,14,2nn,15.912833904394768
1b,0,2,15,mle,17.569324171031248
1b,0,2,15,pca,40.0
1b,0,2,15,pr,69.46121495867482
1b,0,2,15,2nn,15.596747558726843
1b,0,3,0,mle,14.038398153478457
1b,0,3,0,pca,15.0
1b,0,3,0,pr,44.21072391456257
1b,0,3,0,2nn,18.836768368717692
1b,0,3,1,mle,16.05296060876216
1b,0,3,1,pca,15.0
1b,0,3,1,pr,44.42769105469413
1b,0,3,1,2nn,23.02935622312708
1b,0,3,2,mle,16.539816655216953
1b,0,3,2,pca,20.0
1b,0,3,2,pr,47.406376834642
1b,0,3,2,2nn,22.78284066572028
1b,0,3,3,mle,16.57101029991001
1b,0,3,3,pca,20.0
1b,0,3,3,pr,47.81214041828858
1b,0,3,3,2nn,21.370241159806074
1b,0,3,4,mle,16.55063813607432
1b,0,3,4,pca,20.0
1b,0,3,4,pr,49.06729234860117
1b,0,3,4,2nn,19.996522094001133
1b,0,3,5,mle,16.47825060764575
1b,0,3,5,pca,21.0
1b,0,3,5,pr,51.7341756767328
1b,0,3,5,2nn,18.637707410352576
1b,0,3,6,mle,16.45864642044557
1b,0,3,6,pca,25.0
1b,0,3,6,pr,53.878141682044735
1b,0,3,6,2nn,17.635688470277717
1b,0,3,7,mle,16.426095403895378
1b,0,3,7,pca,28.0
1b,0,3,7,pr,56.47245924792696
1b,0,3,7,2nn,16.792316961705552
1b,0,3,8,mle,16.408306197878673
1b,0,3,8,pca,30.0
1b,0,3,8,pr,58.50797512281
1b,0,3,8,2nn,16.129316768260843
