model_size,checkpoint_step,n_words_correlated,layer_num,method,id
6.9b,0,1,0,mle,20.36832925958849
6.9b,0,1,0,pca,11.0
6.9b,0,1,0,pr,51.47954123994712
6.9b,0,1,0,2nn,34.4544758608216
6.9b,0,1,0,pca_ratio_099,1701.0
6.9b,0,1,1,mle,25.0865956732882
6.9b,0,1,1,pca,11.0
6.9b,0,1,1,pr,58.57219605410071
6.9b,0,1,1,2nn,42.30533429068996
6.9b,0,1,1,pca_ratio_099,2414.0
6.9b,0,1,2,mle,27.48834057255992
6.9b,0,1,2,pca,12.0
6.9b,0,1,2,pr,63.82987642630254
6.9b,0,1,2,2nn,46.25785234746756
6.9b,0,1,2,pca_ratio_099,2619.0
6.9b,0,1,3,mle,28.724690950588847
6.9b,0,1,3,pca,12.0
6.9b,0,1,3,pr,68.08607655306325
6.9b,0,1,3,2nn,47.396328932927766
6.9b,0,1,3,pca_ratio_099,2710.0
6.9b,0,1,4,mle,29.2258782912732
6.9b,0,1,4,pca,13.0
6.9b,0,1,4,pr,71.93388136609406
6.9b,0,1,4,2nn,47.07251823197933
6.9b,0,1,4,pca_ratio_099,2758.0
6.9b,0,1,5,mle,29.437958466101257
6.9b,0,1,5,pca,15.0
6.9b,0,1,5,pr,75.44135957172796
6.9b,0,1,5,2nn,46.2983409233568
6.9b,0,1,5,pca_ratio_099,2787.0
6.9b,0,1,6,mle,29.46864927872124
6.9b,0,1,6,pca,17.0
6.9b,0,1,6,pr,79.03318562242104
6.9b,0,1,6,2nn,45.48605828582133
6.9b,0,1,6,pca_ratio_099,2806.0
6.9b,0,1,7,mle,29.52880951416697
6.9b,0,1,7,pca,19.0
6.9b,0,1,7,pr,82.28682603548029
6.9b,0,1,7,2nn,44.37446293613001
6.9b,0,1,7,pca_ratio_099,2820.0
6.9b,0,1,8,mle,29.449466554036302
6.9b,0,1,8,pca,19.0
6.9b,0,1,8,pr,85.07099086552766
6.9b,0,1,8,2nn,43.13332338912471
6.9b,0,1,8,pca_ratio_099,2828.0
6.9b,0,1,9,mle,29.437019042844348
6.9b,0,1,9,pca,19.0
6.9b,0,1,9,pr,87.65924195015147
6.9b,0,1,9,2nn,42.20067339347194
6.9b,0,1,9,pca_ratio_099,2838.0
6.9b,0,1,10,mle,29.29212666600977
6.9b,0,1,10,pca,22.0
6.9b,0,1,10,pr,90.52651933728562
6.9b,0,1,10,2nn,41.04805920050852
6.9b,0,1,10,pca_ratio_099,2842.0
6.9b,0,1,11,mle,29.178099011206104
6.9b,0,1,11,pca,23.0
6.9b,0,1,11,pr,92.74983565245677
6.9b,0,1,11,2nn,40.34403783109837
6.9b,0,1,11,pca_ratio_099,2845.0
6.9b,0,1,12,mle,29.102710890257068
6.9b,0,1,12,pca,25.0
6.9b,0,1,12,pr,95.0330223469869
6.9b,0,1,12,2nn,39.4230793172073
6.9b,0,1,12,pca_ratio_099,2850.0
6.9b,0,1,13,mle,29.00393482390514
6.9b,0,1,13,pca,25.0
6.9b,0,1,13,pr,97.52046588087246
6.9b,0,1,13,2nn,38.48408948978945
6.9b,0,1,13,pca_ratio_099,2852.0
6.9b,0,1,14,mle,28.908953044401844
6.9b,0,1,14,pca,27.0
6.9b,0,1,14,pr,99.53652471611052
6.9b,0,1,14,2nn,37.81171919620773
6.9b,0,1,14,pca_ratio_099,2853.0
6.9b,0,1,15,mle,28.876467045822583
6.9b,0,1,15,pca,28.0
6.9b,0,1,15,pr,102.24491543005908
6.9b,0,1,15,2nn,37.098606280496575
6.9b,0,1,15,pca_ratio_099,2856.0
6.9b,0,1,16,mle,28.757571908408565
6.9b,0,1,16,pca,30.0
6.9b,0,1,16,pr,104.44149467063876
6.9b,0,1,16,2nn,36.479709686832216
6.9b,0,1,16,pca_ratio_099,2857.0
6.9b,0,1,17,mle,28.688221176299503
6.9b,0,1,17,pca,30.0
6.9b,0,1,17,pr,106.39300324841273
6.9b,0,1,17,2nn,35.94256253009461
6.9b,0,1,17,pca_ratio_099,2858.0
6.9b,0,1,18,mle,28.70118193356587
6.9b,0,1,18,pca,34.0
6.9b,0,1,18,pr,108.94626270389112
6.9b,0,1,18,2nn,35.477883535869346
6.9b,0,1,18,pca_ratio_099,2859.0
6.9b,0,1,19,mle,28.54402797264968
6.9b,0,1,19,pca,34.0
6.9b,0,1,19,pr,111.20322499005184
6.9b,0,1,19,2nn,34.90173285544563
6.9b,0,1,19,pca_ratio_099,2860.0
6.9b,0,1,20,mle,28.42413516106233
6.9b,0,1,20,pca,35.0
6.9b,0,1,20,pr,112.85333702766292
6.9b,0,1,20,2nn,34.36933440758735
6.9b,0,1,20,pca_ratio_099,2861.0
6.9b,0,1,21,mle,28.333755540867585
6.9b,0,1,21,pca,36.0
6.9b,0,1,21,pr,114.66535342388364
6.9b,0,1,21,2nn,33.750360267963
6.9b,0,1,21,pca_ratio_099,2862.0
6.9b,0,1,22,mle,28.271920728444424
6.9b,0,1,22,pca,37.0
6.9b,0,1,22,pr,116.46549084681097
6.9b,0,1,22,2nn,33.314890425848326
6.9b,0,1,22,pca_ratio_099,2862.0
6.9b,0,1,23,mle,28.229520506158693
6.9b,0,1,23,pca,37.0
6.9b,0,1,23,pr,118.47911961766891
6.9b,0,1,23,2nn,32.981687862803206
6.9b,0,1,23,pca_ratio_099,2863.0
6.9b,0,1,24,mle,28.21667261920779
6.9b,0,1,24,pca,38.0
6.9b,0,1,24,pr,119.97628405843776
6.9b,0,1,24,2nn,32.503672795568846
6.9b,0,1,24,pca_ratio_099,2863.0
6.9b,0,1,25,mle,28.20595476122424
6.9b,0,1,25,pca,40.0
6.9b,0,1,25,pr,122.06395052335732
6.9b,0,1,25,2nn,32.1097538653539
6.9b,0,1,25,pca_ratio_099,2862.0
6.9b,0,1,26,mle,28.169152506562217
6.9b,0,1,26,pca,41.0
6.9b,0,1,26,pr,123.26565394680247
6.9b,0,1,26,2nn,31.75162781418497
6.9b,0,1,26,pca_ratio_099,2862.0
6.9b,0,1,27,mle,28.17554024396934
6.9b,0,1,27,pca,41.0
6.9b,0,1,27,pr,124.1138574143042
6.9b,0,1,27,2nn,31.463516089387845
6.9b,0,1,27,pca_ratio_099,2862.0
6.9b,0,1,28,mle,28.16073703089628
6.9b,0,1,28,pca,41.0
6.9b,0,1,28,pr,125.2090506531057
6.9b,0,1,28,2nn,31.17965808405784
6.9b,0,1,28,pca_ratio_099,2862.0
6.9b,0,1,29,mle,28.08493058679165
6.9b,0,1,29,pca,41.0
